18.5,25,0,30,6,0.15,1.09
44.1,19.98,22.8,16.5,37.5,0.3,0.68
25,46,35,46,393,0.25,1.31
25.2,0.45,35,53,240,0,1.26
30.1,0.571,37,53,120,0,1.976
22.4,100,45,45,15,0.25,1.8
21,45,25,49,12,0.3,1.53
20,0,24.5,20,8,0.35,1.37
30.3,0.34,31.8,43.57,231.33,0.28,0.98
50,45,20,20,36,0.5,0.83
25,46,35,46,393,0.15,1.45
19.06,11.71,28,35,21,0.11,1.09
10.04,15.24,18.8,0,20,0.33,0.97
27.3,26,31,50,92,0.25,1.246
21.4,10,30.34,30,20,0.25,1.7
22,20,22,20,180,0.1,0.99
18,24,30.15,45,20,0.12,1.12
22.5,18,20,20,290,0,1.05
31.3,68,37,49,200.5,0.25,1.2
27.3,10,39,40,470,0.25,1.418
28.44,39.23,38,35,100,0,1.99
29.1,0.29,29.8,34.01,167.57,0.29,1.75
31.3,58.8,35.5,47.5,502.7,0.25,1.2
21,20,24,21,565,0,1.26
22,20,36,45,50,0,1.02
30.3,0.36,31.9,34.75,84,0.276,2.44
31.3,68.6,37,47,305,0.25,1.2
21.4,10,30.34,30,20,0.15,1.7
25,46,36,44.5,299,0.15,1.2
25,63,32,44.5,239,0.25,1.49
50,45,20,0,36,0.25,0.79
27.3,10,39,40,480,0.25,1.445
27,40,35,47.1,292,0.25,1.15
22,10,36,45,50,0.25,1.02
29.1,0.23,32.7,27.95,259.01,0.283,1.42
25,46,35,47,443,0.15,1.28
10,39.81,20.36,0.98,32.5,0.7,1.01
22.54,29.4,20,24,210,0,1.06
18,0,30,20,8,0.3,2.05
27,32,33,42.4,289,0.25,1.3
18.8,30,20,30,50,0.1,1.46
20,0,36,45,50,0.5,0.67
22,29,15,18,400,0,1.04
25,55,36,45.5,299,0.25,1.52
20,20,36,45,50,0.2,0.96
27.3,16.8,28,50,90.5,0.15,1.252
22.4,10,35,45,10,0.4,0.9
7.62,26.57,17.61,7.66,26,0.2,1.13
30.5,20,18.84,14.36,25,0.45,1.11
18.5,12,0,30,6,0.25,0.78
21,35,28,40,12,0.5,1.43
30.3,0.37,33.4,45.56,217.73,0.29,0.99
22,0,40,33,8,0.35,1.45
25,55,36,45,239,0.25,1.71
27,40,35,47.1,292,0.15,0.96
27,40,35,43,420,0.2,1.15
18.84,14.36,25,20,30.5,0,1.875
100,20,23,0,20,0.3,1.2
31.3,68,37,46,366,0.15,1.34
29.1,0.32,32.3,45.45,220.67,0.28,1.19
30,20.56,19.61,14.71,20,0,1.75
15,45,22.4,100,45,0.25,1.8
22,21,23,30,257,0,1.1
25,63,32,46,300,0.25,1.45
12,0,30,45,8,0.15,0.8
31.3,68,37,46,366,0.25,1.2
88,30,14,11.97,26,0.45,0.66
27,32,33,42.6,301,0.25,1.16
20,40,40,40,10,0.2,2.31
27,37.5,35,37.8,320,0.25,1.24
21.4,10,30.34,30,20,0,1.7
10.67,22,20.41,24.91,13,0.35,1.4
32.8,18.16,17,12,16.3,1,0.94
31.3,68.6,37,47,270,0.25,1.2
31.3,68,37,47,213,0.25,1.2
22,40,30,30,196,0,1.11
21.82,8.62,32,28,12.8,0.49,1.03
25,48,40,45,330,0.25,1.62
18.84,15.32,30,25,10.67,0.38,1.63
30.3,0.245,32.6,37.22,188.15,0.286,1.49
